Matrix dimensions: m = n, GFLOPS
40,2.462353e+00,-5.550796e+11
80,2.992212e+00,-6.118016e+13
120,3.188802e+00,-5.510231e+12
160,3.274506e+00,-6.039664e+11
200,3.298138e+00,-7.996296e+13
240,3.310688e+00,8.627766e+12
280,3.294677e+00,1.160183e+13
320,3.175128e+00,-6.331663e+12
360,3.041264e+00,-1.676153e+13
400,3.135056e+00,-1.088753e+14
440,3.106777e+00,-6.488187e+13
480,3.126204e+00,4.291345e+12
520,3.130234e+00,1.151814e+13
560,3.129478e+00,-1.127690e+14
600,3.067700e+00,-5.709569e+13
640,3.067853e+00,-2.327214e+14
680,3.093093e+00,-8.411187e+13
720,3.060260e+00,2.694110e+14
760,3.047117e+00,-1.996700e+14
800,3.035113e+00,8.805543e+14
840,3.041495e+00,-1.653944e+14
880,2.968203e+00,8.679263e+14
920,2.921639e+00,-5.040451e+12
960,2.862472e+00,-2.266519e+14
1000,2.806873e+00,-8.896768e+13
