Matrix dimensions: m = n, GFLOPS
40,2.616250e+00,-nan
80,3.130741e+00,-nan
120,3.511595e+00,-nan
160,2.947766e+00,-nan
200,3.700070e+00,-nan
240,3.624126e+00,-nan
280,3.770452e+00,-nan
320,3.802177e+00,-nan
360,3.723059e+00,-nan
400,3.716757e+00,-nan
440,3.767442e+00,-nan
480,3.848427e+00,-nan
520,3.836047e+00,-nan
560,3.825180e+00,-nan
600,3.858969e+00,-nan
640,3.849718e+00,-nan
680,3.899909e+00,-nan
720,3.894292e+00,-nan
760,3.822871e+00,-nan
800,3.763818e+00,-nan
840,3.751050e+00,-nan
880,3.717303e+00,-nan
920,3.678111e+00,-nan
960,3.583081e+00,-nan
1000,3.591117e+00,-nan
