Matrix dimensions: m = n, GFLOPS
40,2.325556e+00,-5.550796e+11
80,2.348056e+00,-6.118016e+13
120,3.145000e+00,-5.510231e+12
160,3.081451e+00,-6.039664e+11
200,3.339598e+00,-7.996296e+13
240,3.221304e+00,8.627766e+12
280,3.319404e+00,1.160183e+13
320,3.394717e+00,-6.331663e+12
360,3.415774e+00,-1.676153e+13
400,3.417042e+00,-1.088753e+14
440,3.442374e+00,-6.488187e+13
480,3.441777e+00,4.291345e+12
520,3.491100e+00,1.151814e+13
560,3.465131e+00,-1.127690e+14
600,3.436064e+00,-5.709569e+13
640,3.407534e+00,-2.327214e+14
680,3.368186e+00,-8.411187e+13
720,3.407206e+00,2.694110e+14
760,3.387070e+00,-1.996700e+14
800,3.213256e+00,8.805543e+14
840,3.416320e+00,-1.653944e+14
880,3.306460e+00,8.679263e+14
920,3.214544e+00,-5.040451e+12
960,3.137897e+00,-2.266519e+14
1000,3.050632e+00,-8.896768e+13
