Matrix dimensions: m = n, GFLOPS
40,2.790667e+00,-5.550796e+11
80,3.251154e+00,-6.118016e+13
120,3.427485e+00,-5.510231e+12
160,3.759115e+00,-6.039664e+11
200,3.677024e+00,-7.996296e+13
240,3.719498e+00,8.627766e+12
280,3.806839e+00,1.160183e+13
320,3.869001e+00,-6.331663e+12
360,3.813631e+00,-1.676153e+13
400,3.828009e+00,-1.088753e+14
440,3.864780e+00,-6.488187e+13
480,3.872316e+00,4.291345e+12
520,3.891871e+00,1.151814e+13
560,3.906202e+00,-1.127690e+14
600,3.719160e+00,-5.709569e+13
640,3.887441e+00,-2.327214e+14
680,3.853473e+00,-8.411187e+13
720,3.917924e+00,2.694110e+14
760,3.933029e+00,-1.996700e+14
800,3.895468e+00,8.805543e+14
840,3.831246e+00,-1.653944e+14
880,3.721936e+00,8.679263e+14
920,3.687053e+00,-5.040451e+12
960,3.419492e+00,-2.266519e+14
1000,3.312234e+00,-8.896768e+13
